,Number of Nodes,Training Error,Validation Error
0,10.0,0.86375,0.865875
1,20.0,0.86115625,0.86475
2,30.0,0.85090625,0.869
3,40.0,0.84678125,0.8644375
4,50.0,0.86078125,0.867125
5,60.0,0.842265625,0.872375
6,70.0,0.84521875,0.870875
7,80.0,0.84609375,0.8744375
8,90.0,0.838,0.8706875
9,100.0,0.83075,0.869625
10,110.0,0.836234375,0.872875
11,120.0,0.83175,0.8715
12,130.0,0.834640625,0.8719375
13,140.0,0.829296875,0.8734375
14,150.0,0.827140625,0.8765625
15,160.0,0.840203125,0.865
16,170.0,0.825734375,0.875375
17,180.0,0.811890625,0.875875
18,190.0,0.8128125,0.8800625
19,200.0,0.817828125,0.8826875
