,Hidden Layers,Training Error,Validation Error
0,0.0,0.8819375,0.892625
1,10.0,0.860484375,0.8765625
2,20.0,0.855890625,0.871625
3,30.0,0.845265625,0.8758125
4,40.0,0.835171875,0.872875
5,50.0,0.816625,0.8739375
6,60.0,0.819484375,0.8774375
7,70.0,0.81671875,0.8735625
8,80.0,0.8195625,0.87575
9,90.0,0.81234375,0.8756875
10,100.0,0.7998125,0.879875
11,110.0,0.793546875,0.88325
12,120.0,0.79284375,0.8811875
13,130.0,0.78625,0.882875
14,140.0,0.7844375,0.8815625
15,150.0,0.78709375,0.8791875
16,160.0,0.77765625,0.8805
17,170.0,0.77303125,0.8843125
18,180.0,0.772625,0.8830625
19,190.0,0.773765625,0.8855
