,Hidden Layers,Training Error,Validation Error
0,1.0,0.886015625,0.8894375
1,2.0,0.87365625,0.8831875
2,3.0,0.8824375,0.887
3,4.0,0.870765625,0.8778125
4,5.0,0.875140625,0.885375
5,6.0,0.88434375,0.8888125
6,7.0,0.8588125,0.87575
7,8.0,0.883609375,0.891375
8,9.0,0.85646875,0.8766875
9,10.0,0.866796875,0.8775
10,11.0,0.85421875,0.872875
11,12.0,0.850171875,0.8700625
12,13.0,0.850390625,0.872875
13,14.0,0.85084375,0.875375
14,15.0,0.856921875,0.8755
15,16.0,0.855015625,0.8820625
16,17.0,0.85484375,0.875125
17,18.0,0.8435,0.8723125
18,19.0,0.847625,0.875875
19,20.0,0.8444375,0.870375
20,21.0,0.837765625,0.87175
21,22.0,0.8545,0.8738125
22,23.0,0.852078125,0.87275
23,24.0,0.83890625,0.8694375
